counterparty,mode,amount,hour,day_of_week,freq_per_week,avg_amount_counterparty,transaction_count_counterparty,days_since_last_transaction,category
City Mart,UPI,492.27,20,Wednesday,2,511.07,14,4,Groceries
Local Pharmacy,UPI,1504.2,18,Monday,1,978.49,4,88,Miscellaneous
Clinic,CARD,162.39,16,Monday,1,148.22,11,4,Miscellaneous
Internet Services,CARD,2573.46,14,Wednesday,4,3496.39,1,24,Miscellaneous
Rahul Kumar,UPI,929.05,12,Sunday,5,813.82,10,0,Food
Suresh,CARD,106.5,7,Thursday,5,111.21,8,6,Food
Ola Cabs,UPI,765.98,20,Tuesday,5,887.64,10,1,Transport
Cloud Service,UPI,572.1,23,Friday,2,485.87,9,11,Entertainment
Hotel,NETBANKING,4282.74,16,Friday,3,5010.62,7,60,Miscellaneous
Rakesh,CARD,1256.21,13,Monday,4,1141.58,6,2,Food
Rahul Kumar,UPI,107.24,8,Wednesday,2,78.87,34,4,Food
Training Center,UPI,2387.63,10,Saturday,1,2443.41,3,38,Miscellaneous
Ananya Stores,UPI,162.03,12,Friday,6,130.34,7,7,Groceries
Amazon Prime,CARD,325.02,20,Thursday,1,462.7,10,3,Entertainment
Software Service,CARD,135.84,1,Friday,1,204.62,15,12,Entertainment
Book Store,UPI,860.35,14,Sunday,1,767.09,5,1,Miscellaneous
Local Mart,CARD,889.24,8,Tuesday,4,633.33,8,1,Groceries
PVR,UPI,944.41,22,Monday,2,570.03,12,7,Entertainment
Uber,UPI,159.08,9,Tuesday,4,188.77,10,7,Transport
Property Manager,NETBANKING,6425.61,11,Wednesday,2,4192.88,2,15,Miscellaneous
Priya Foods,UPI,103.22,8,Wednesday,1,45.44,22,2,Food
City Mart,UPI,379.43,18,Friday,4,472.07,14,2,Groceries
Software Service,CARD,100.21,18,Friday,2,71.15,31,62,Entertainment
City Bus,UPI,41.76,21,Friday,5,47.24,9,3,Transport
Landlord,UPI,12669.99,10,Friday,1,9358.1,7,35,Miscellaneous
Ravi,UPI,12929.24,12,Thursday,1,11355.81,7,4,Miscellaneous
Priya Foods,UPI,170.21,22,Tuesday,4,152.38,6,4,Food
Annapurna,CARD,97.69,19,Monday,4,128.78,19,1,Food
Uber,UPI,75.71,18,Monday,3,74.67,19,3,Transport
Local Pharmacy,CARD,115.29,17,Wednesday,2,95.61,1,23,Miscellaneous
Event Ticket,NETBANKING,1471.68,20,Sunday,3,1686.51,7,23,Entertainment
Local Cafe,UPI,106.86,14,Friday,4,182.39,25,6,Food
Electro World,UPI,2050.12,10,Thursday,1,1946.49,4,0,Miscellaneous
Ananya Stores,UPI,286.97,20,Wednesday,2,340.09,4,13,Groceries
College Office,CARD,3191.17,18,Thursday,3,3792.74,4,101,Miscellaneous
General Store,UPI,266.74,19,Tuesday,1,249.46,5,11,Miscellaneous
Daily Needs,UPI,683.75,17,Thursday,3,1045.34,16,5,Groceries
Netflix,UPI,200.68,18,Saturday,1,129.31,7,14,Entertainment
Exam Cell,UPI,1274.87,16,Saturday,1,1306.47,7,19,Miscellaneous
Electro World,UPI,4833.84,15,Tuesday,4,5957.0,4,12,Miscellaneous
Arjun,UPI,1020.55,11,Tuesday,1,356.91,3,16,Miscellaneous
Ravi,UPI,264.13,22,Wednesday,1,183.2,5,10,Miscellaneous
Campus Canteen,UPI,582.01,12,Saturday,3,553.99,9,1,Food
Myntra,CARD,681.72,17,Tuesday,1,603.51,10,4,Miscellaneous
Fresh Basket,UPI,158.89,8,Saturday,2,234.49,5,1,Groceries
Suresh,CARD,928.03,21,Wednesday,4,918.2,36,5,Food
Auto Driver,CASH,125.06,7,Saturday,3,302.19,25,6,Transport
Daily Needs,UPI,649.84,19,Sunday,2,750.26,9,4,Groceries
Fresh Basket,CARD,884.49,10,Saturday,2,752.69,6,1,Groceries
Online Course,CASH,1275.6,19,Sunday,2,1464.98,1,4,Miscellaneous
Water Board,NETBANKING,405.09,20,Tuesday,1,336.63,2,21,Miscellaneous
Rahul Kumar,UPI,116.07,7,Thursday,5,89.98,12,0,Food
Electricity Office,CARD,2800.16,17,Thursday,2,1966.34,4,17,Miscellaneous
Airline,CARD,19657.88,10,Thursday,1,23498.64,3,175,Miscellaneous
Daily Needs,UPI,695.74,11,Saturday,3,1055.81,4,11,Groceries
Movie Zone,UPI,201.99,22,Friday,1,158.87,7,48,Entertainment
Sai Restaurant,UPI,109.82,19,Monday,5,122.62,25,0,Food
Myntra,CARD,10508.89,17,Saturday,1,11465.57,10,22,Miscellaneous
Event Ticket,CARD,1793.78,12,Monday,1,2256.45,3,0,Entertainment
Power Services,CARD,435.46,14,Thursday,1,347.39,8,27,Miscellaneous
Exam Cell,UPI,422.03,14,Sunday,1,433.25,10,47,Miscellaneous
Maa Grocery,UPI,275.27,12,Tuesday,5,167.31,3,4,Groceries
Movie Zone,CARD,409.31,18,Thursday,1,424.59,18,6,Entertainment
Suresh,UPI,526.82,22,Sunday,5,616.32,11,3,Food
Apollo,UPI,327.17,14,Tuesday,1,171.08,2,7,Miscellaneous
Rajesh,CASH,5745.36,20,Sunday,1,6715.83,3,8,Miscellaneous
City Bus,CARD,247.99,19,Tuesday,5,280.11,12,1,Transport
Rakesh,UPI,83.5,14,Friday,1,166.21,59,1,Food
Training Center,NETBANKING,1782.79,9,Thursday,2,2161.98,16,72,Miscellaneous
Online Course,NETBANKING,347.64,8,Tuesday,1,248.0,3,0,Miscellaneous
Medical Store,UPI,275.55,17,Wednesday,1,280.55,3,10,Miscellaneous
Priya Foods,CARD,424.08,14,Thursday,5,454.84,18,2,Food
Rapido,UPI,764.85,19,Sunday,7,841.5,18,2,Transport
General Store,CARD,205.05,21,Sunday,2,156.81,4,32,Miscellaneous
Cab Service,UPI,152.36,9,Thursday,4,284.27,23,0,Transport
Kiran,UPI,723.02,9,Thursday,1,929.14,17,1,Miscellaneous
Ananya Stores,UPI,471.16,8,Tuesday,2,373.9,6,1,Groceries
Rapido,UPI,1248.2,22,Thursday,7,2533.17,20,2,Transport
Annapurna,UPI,118.6,9,Saturday,4,143.34,14,1,Food
Power Services,CARD,574.69,17,Saturday,3,507.6,1,1,Miscellaneous
BookMyShow,UPI,2902.06,22,Friday,1,2486.48,16,26,Entertainment
General Store,UPI,282.65,15,Saturday,1,502.27,14,4,Miscellaneous
Hostel Rent,NETBANKING,22038.67,12,Friday,1,14042.54,2,16,Miscellaneous
Internet Services,UPI,2778.02,12,Wednesday,1,3372.52,2,3,Miscellaneous
Sai Restaurant,UPI,161.7,22,Saturday,4,240.37,27,1,Food
Daily Needs,CARD,340.98,20,Wednesday,5,407.13,3,3,Groceries
College Office,UPI,13522.44,18,Friday,1,19598.74,3,10,Miscellaneous
Hostel Rent,UPI,5744.17,18,Saturday,1,4540.41,8,1,Miscellaneous
Spotify,CARD,234.02,18,Friday,1,212.3,2,14,Entertainment
Priya Sharma,UPI,2640.33,9,Thursday,4,6310.05,9,15,Miscellaneous
Rajesh,UPI,26010.65,21,Monday,1,18581.33,7,24,Miscellaneous
Local Mart,NETBANKING,176.54,19,Sunday,3,174.81,5,5,Groceries
Green Bites,CARD,1091.88,20,Saturday,5,954.02,10,0,Food
Electro World,CARD,7843.52,11,Sunday,2,10191.7,4,4,Miscellaneous
Campus Canteen,CASH,159.13,9,Sunday,2,198.25,9,1,Food
Amazon Prime,UPI,152.58,21,Wednesday,1,150.6,4,5,Entertainment
Rakesh,CASH,302.72,12,Tuesday,3,191.83,9,0,Food
Maa Grocery,UPI,249.11,8,Monday,1,148.99,12,5,Groceries
Rakesh,UPI,113.92,7,Sunday,3,84.99,6,0,Food
Water Board,UPI,320.04,18,Monday,4,223.72,4,9,Miscellaneous
Local Pharmacy,CASH,607.89,13,Saturday,1,589.04,3,14,Miscellaneous
General Store,CARD,880.92,14,Monday,1,1081.31,2,5,Miscellaneous
Auto Driver,CASH,116.65,7,Saturday,3,150.49,7,0,Transport
Ola Cabs,CASH,480.26,22,Monday,4,687.13,18,0,Transport
YouTube,CARD,433.24,22,Monday,1,512.97,3,65,Entertainment
Power Services,UPI,1282.2,15,Saturday,1,994.15,24,11,Miscellaneous
Electro World,CARD,227.93,10,Saturday,2,356.41,6,0,Miscellaneous
Auto Driver,UPI,482.7,8,Tuesday,2,270.83,12,2,Transport
Rakesh,UPI,503.64,8,Saturday,2,259.21,28,0,Food
Movie Zone,UPI,879.53,14,Thursday,3,940.8,13,10,Entertainment
Fresh Basket,UPI,540.38,19,Wednesday,4,554.03,4,0,Groceries
Room Owner,NETBANKING,22467.3,9,Thursday,1,15510.82,1,50,Miscellaneous
Flipkart,CARD,3946.31,21,Sunday,2,3674.65,2,1,Miscellaneous
Arjun,UPI,1313.99,12,Thursday,3,1105.56,11,2,Miscellaneous
Clinic,UPI,220.97,14,Monday,1,200.05,14,2,Miscellaneous
Priya Foods,UPI,209.69,7,Friday,4,191.77,4,5,Food
Clinic,UPI,463.2,11,Wednesday,1,658.78,18,3,Miscellaneous
Flipkart,CARD,3038.32,21,Friday,3,2973.54,18,15,Miscellaneous
Amazon,CARD,600.96,18,Friday,1,380.48,6,24,Miscellaneous
Rapido,UPI,71.03,21,Monday,4,43.78,13,0,Transport
Fashion Point,CARD,457.3,19,Sunday,1,373.66,3,2,Miscellaneous
Room Owner,UPI,12804.2,19,Sunday,1,12579.99,2,13,Miscellaneous
Apollo,UPI,1567.29,9,Wednesday,1,2852.61,5,8,Miscellaneous
Suresh,CARD,852.4,9,Wednesday,3,635.17,12,2,Food
Maa Grocery,CASH,500.76,21,Thursday,1,411.5,10,0,Groceries
Rapido,UPI,166.55,21,Tuesday,4,165.89,19,8,Transport
Medical Store,UPI,2342.41,11,Tuesday,2,1661.9,1,4,Miscellaneous
Suresh,CARD,923.21,13,Wednesday,5,972.54,28,6,Food
Maa Grocery,UPI,2264.89,20,Tuesday,3,2425.56,3,2,Groceries
Power Services,UPI,569.55,17,Sunday,2,523.75,4,3,Miscellaneous
Green Bites,CARD,90.31,12,Friday,5,111.47,22,11,Food
Apollo,UPI,407.67,18,Monday,1,413.71,4,85,Miscellaneous
Fashion Point,UPI,498.35,16,Tuesday,1,433.94,11,5,Miscellaneous
Friend,UPI,16509.46,18,Tuesday,1,15306.43,7,20,Miscellaneous
Priya Foods,NETBANKING,784.21,21,Sunday,5,932.64,13,2,Food
Rakesh,CARD,767.98,8,Sunday,4,1053.84,6,2,Food
Rapido,UPI,310.39,10,Wednesday,3,571.4,23,2,Transport
Power Services,UPI,407.28,15,Wednesday,3,376.89,10,26,Miscellaneous
Ola Cabs,CASH,1019.51,18,Saturday,6,526.17,6,2,Transport
Health Care,CARD,541.36,11,Saturday,2,748.24,5,7,Miscellaneous
BookMyShow,CARD,220.55,19,Friday,2,221.39,6,21,Entertainment
Ananya Stores,UPI,1899.62,11,Thursday,1,2768.09,10,4,Groceries
Priya Foods,CASH,211.27,20,Wednesday,6,140.35,10,1,Food
Movie Zone,CARD,280.88,21,Monday,1,347.19,5,8,Entertainment
Local Cafe,UPI,939.46,22,Tuesday,1,686.23,32,3,Food
Exam Cell,CARD,4259.54,10,Thursday,1,6818.14,2,35,Miscellaneous
Electricity Office,NETBANKING,888.27,18,Tuesday,2,853.55,16,9,Miscellaneous
Airtel,UPI,2801.53,12,Wednesday,5,3112.91,14,22,Miscellaneous
City Mart,UPI,1231.7,20,Wednesday,2,1419.05,7,1,Groceries
Kumar Enterprises,UPI,339.0,17,Friday,1,290.44,4,2,Miscellaneous
City Bus,UPI,815.42,20,Wednesday,5,1285.23,13,4,Transport
Electro World,CASH,604.98,17,Friday,1,287.14,7,17,Miscellaneous
Rapido,UPI,49.54,10,Thursday,4,58.93,18,2,Transport
City Mart,NETBANKING,2631.62,21,Sunday,4,1788.96,26,19,Groceries
Netflix,UPI,1353.4,18,Tuesday,1,711.98,7,6,Entertainment
Kumar Enterprises,CARD,431.59,15,Sunday,1,341.1,16,9,Miscellaneous
Health Care,UPI,3809.14,15,Tuesday,4,4249.46,5,8,Miscellaneous
City Mart,UPI,1093.46,18,Sunday,1,1200.9,4,9,Groceries
Flipkart,CARD,1686.7,12,Wednesday,1,1936.87,1,4,Miscellaneous
Local Mart,UPI,1783.9,10,Monday,1,2342.17,6,11,Groceries
City Mart,UPI,169.71,8,Sunday,4,167.39,9,3,Groceries
Rakesh,UPI,292.56,19,Saturday,4,199.82,30,3,Food
BSNL,CASH,1349.89,10,Friday,1,1109.5,6,69,Miscellaneous
Landlord,NETBANKING,22719.09,18,Tuesday,2,12673.32,2,46,Miscellaneous
MakeMyTrip,CARD,1175.22,12,Monday,1,750.03,1,75,Miscellaneous
Ananya Stores,UPI,517.03,12,Friday,4,678.19,10,2,Groceries
Local Cafe,UPI,291.05,9,Thursday,5,356.15,10,4,Food
Software Service,NETBANKING,404.5,0,Sunday,1,658.3,3,11,Entertainment
Local Pharmacy,UPI,175.43,18,Friday,2,191.42,4,24,Miscellaneous
Local Cafe,UPI,461.72,13,Saturday,3,314.22,14,12,Food
Local Store,UPI,9654.9,15,Friday,2,14693.0,8,14,Miscellaneous
Maa Grocery,UPI,984.98,12,Thursday,2,951.06,21,2,Groceries
Flipkart,UPI,1289.76,20,Friday,2,1284.01,4,6,Miscellaneous
Uber,CASH,232.31,10,Sunday,5,153.51,41,5,Transport
Health Care,NETBANKING,131.02,9,Sunday,1,205.16,8,37,Miscellaneous
Health Care,CARD,5091.22,13,Wednesday,1,4529.71,2,58,Miscellaneous
Event Ticket,CARD,514.1,18,Saturday,1,482.15,4,12,Entertainment
Metro Cab,UPI,1640.5,18,Friday,3,1721.8,12,1,Transport
Fashion Point,UPI,652.31,21,Tuesday,1,877.98,5,17,Miscellaneous
Game Store,UPI,1914.99,14,Wednesday,1,1638.15,9,1,Entertainment
Maa Grocery,CARD,337.38,21,Saturday,1,366.32,18,10,Groceries
Flipkart,UPI,4932.53,12,Monday,2,3301.63,8,5,Miscellaneous
Training Center,UPI,16653.76,17,Sunday,1,24506.02,4,112,Miscellaneous
Amazon,CARD,11887.1,11,Saturday,1,30000.0,5,22,Miscellaneous
Health Care,CARD,359.87,13,Sunday,2,205.2,10,44,Miscellaneous
Auto Driver,UPI,753.64,8,Friday,1,818.77,48,5,Transport
Priya Foods,UPI,369.45,13,Monday,4,471.39,24,7,Food
Apollo,CASH,3338.28,10,Saturday,1,3808.35,3,69,Miscellaneous
Suresh,UPI,799.7,8,Friday,2,599.41,16,2,Food
Water Board,UPI,4816.35,18,Saturday,3,5165.58,1,24,Miscellaneous
Friend,UPI,545.16,10,Monday,1,837.45,19,37,Miscellaneous
Local Store,UPI,9485.48,16,Thursday,1,16630.57,6,20,Miscellaneous
Medical Store,CARD,3958.22,16,Monday,1,8426.02,5,85,Miscellaneous
Suresh,NETBANKING,527.54,12,Monday,4,637.13,7,3,Food
Water Board,UPI,648.27,12,Wednesday,1,307.8,3,18,Miscellaneous
Local Cafe,UPI,210.68,7,Saturday,4,193.53,6,0,Food
Gaming Cafe,CARD,137.7,20,Sunday,1,148.41,2,9,Entertainment
Ola Cabs,UPI,751.33,21,Tuesday,4,616.27,12,3,Transport
City Bus,UPI,714.98,17,Friday,5,1221.11,15,1,Transport
Priya Foods,UPI,100.06,7,Monday,4,83.84,12,2,Food
Local Mart,CASH,1629.78,18,Monday,4,953.08,6,3,Groceries
Kumar Enterprises,CASH,312.14,21,Monday,1,332.93,4,49,Miscellaneous
Internet Services,NETBANKING,318.07,11,Friday,2,315.53,6,35,Miscellaneous
Green Bites,NETBANKING,1269.41,20,Sunday,4,938.93,8,5,Food
Priya Foods,CASH,210.91,7,Tuesday,3,217.37,6,0,Food
Local Mart,CARD,205.87,18,Wednesday,4,311.81,9,6,Groceries
Jio,UPI,2761.23,16,Friday,2,4046.01,7,52,Miscellaneous
Local Store,CARD,3592.8,19,Monday,3,4215.51,5,1,Miscellaneous
Fresh Basket,UPI,2018.31,20,Sunday,2,2051.52,19,5,Groceries
Local Mart,UPI,180.71,12,Monday,1,128.38,16,0,Groceries
Airline,UPI,9259.55,20,Sunday,1,5179.96,2,91,Miscellaneous
Reliance Smart,UPI,489.68,12,Sunday,3,1018.25,10,3,Groceries
Apollo,UPI,887.09,12,Saturday,1,966.49,8,35,Miscellaneous
Kumar Cafe,UPI,289.85,8,Wednesday,4,196.24,6,3,Food
Kumar Cafe,UPI,577.17,21,Friday,2,978.39,25,4,Food
Kumar Cafe,UPI,83.3,19,Monday,7,47.67,6,3,Food
Movie Zone,UPI,203.07,18,Saturday,1,187.8,2,11,Entertainment
Room Owner,NETBANKING,5068.69,18,Thursday,1,14716.16,2,12,Miscellaneous
Landlord,UPI,9770.49,19,Wednesday,1,7962.23,2,74,Miscellaneous
Campus Canteen,UPI,266.87,21,Friday,3,528.96,15,0,Food
Green Bites,UPI,204.66,13,Wednesday,4,344.81,7,0,Food
Local Store,UPI,2034.21,14,Friday,3,1296.43,6,39,Miscellaneous
Ananya Stores,UPI,340.56,17,Saturday,1,320.55,10,11,Groceries
Arjun,UPI,2211.02,19,Thursday,2,3904.77,8,3,Miscellaneous
Flipkart,UPI,8935.62,10,Thursday,1,9595.35,4,8,Miscellaneous
Electro World,UPI,222.98,15,Thursday,1,92.6,18,28,Miscellaneous
Ravi,UPI,464.57,22,Sunday,2,532.07,9,4,Miscellaneous
City Mart,CARD,256.51,20,Monday,1,315.42,12,0,Groceries
Hostel Rent,NETBANKING,10445.96,21,Saturday,1,10280.72,2,19,Miscellaneous
Suresh,CASH,213.48,13,Monday,3,191.81,25,5,Food
Medical Store,UPI,9178.99,14,Sunday,1,6171.82,2,59,Miscellaneous
General Store,CARD,2180.57,19,Tuesday,5,2041.17,24,3,Miscellaneous
Cab Service,CARD,90.33,17,Friday,6,69.34,15,1,Transport
City Mart,NETBANKING,2113.72,10,Friday,2,1670.52,9,1,Groceries
Green Bites,UPI,636.89,19,Tuesday,2,335.85,19,2,Food
Gaming Cafe,UPI,269.41,21,Thursday,1,453.07,5,1,Entertainment
Airtel,NETBANKING,5331.3,11,Saturday,1,5952.17,4,15,Miscellaneous
Myntra,UPI,4217.13,16,Tuesday,3,2710.18,27,19,Miscellaneous
University Fees,UPI,553.95,18,Sunday,2,368.03,15,16,Miscellaneous
Movie Zone,CARD,609.66,17,Friday,2,770.73,1,4,Entertainment
Electro World,CARD,589.93,11,Monday,1,1143.97,8,6,Miscellaneous
Annapurna,NETBANKING,210.28,9,Tuesday,5,284.71,11,0,Food
BookMyShow,UPI,130.5,20,Saturday,1,82.15,14,17,Entertainment
Fresh Basket,UPI,1132.06,18,Friday,2,926.13,17,1,Groceries
Annapurna,UPI,1250.79,7,Saturday,4,2884.09,6,1,Food
Flipkart,CARD,572.06,20,Saturday,3,527.55,9,16,Miscellaneous
Flipkart,CARD,11455.67,21,Wednesday,4,15703.17,2,22,Miscellaneous
Jio,UPI,4234.15,20,Thursday,3,7030.86,31,12,Miscellaneous
Ola Cabs,UPI,231.42,17,Sunday,4,162.19,39,2,Transport
Sai Restaurant,UPI,97.38,12,Monday,5,106.11,18,0,Food
Fresh Basket,UPI,1041.63,12,Tuesday,2,1145.67,5,0,Groceries
Uber,CARD,42.33,17,Monday,5,40.0,25,16,Transport
Training Center,UPI,4764.05,12,Saturday,1,4688.35,4,42,Miscellaneous
Ola Cabs,CARD,134.06,7,Saturday,2,166.01,3,8,Transport
Amazon Prime,CARD,391.78,21,Wednesday,1,408.3,1,5,Entertainment
Family Account,UPI,685.77,8,Monday,1,837.8,9,13,Miscellaneous
Internet Services,CARD,463.44,10,Monday,1,464.64,6,34,Miscellaneous
Kumar Cafe,UPI,398.25,8,Thursday,4,363.77,31,1,Food
Metro Cab,UPI,739.0,18,Monday,5,648.46,56,3,Transport
YouTube,NETBANKING,118.07,22,Wednesday,2,127.02,8,5,Entertainment
Kumar Enterprises,CASH,840.33,20,Friday,2,750.27,11,3,Miscellaneous
Rakesh,UPI,213.94,12,Thursday,5,216.59,14,0,Food
Rakesh,CARD,158.98,13,Friday,5,201.15,5,4,Food
Kumar Cafe,UPI,139.73,19,Wednesday,3,106.48,60,2,Food
City Bus,UPI,1451.03,9,Wednesday,6,1897.7,43,1,Transport
Green Bites,UPI,176.02,14,Sunday,3,194.75,10,8,Food
General Store,CARD,2928.38,20,Sunday,3,3680.61,12,2,Miscellaneous
Event Ticket,CARD,583.56,22,Saturday,5,845.42,7,11,Entertainment
Apollo,CASH,396.51,11,Friday,1,305.54,4,77,Miscellaneous
Ravi,UPI,895.02,12,Saturday,1,620.4,10,6,Miscellaneous
Flipkart,UPI,409.52,10,Tuesday,1,350.07,10,10,Miscellaneous
Cab Service,UPI,82.32,8,Saturday,1,70.19,18,0,Transport
Fashion Point,UPI,263.82,10,Tuesday,1,438.37,10,1,Miscellaneous
BSNL,UPI,830.19,18,Thursday,1,1011.61,5,4,Miscellaneous
YouTube,CARD,970.8,2,Thursday,1,897.6,1,6,Entertainment
Rahul Kumar,UPI,697.35,9,Thursday,1,1001.36,6,1,Food
Myntra,CARD,472.39,16,Monday,2,470.6,3,14,Miscellaneous
Kiran,CASH,15720.74,21,Tuesday,3,24059.29,5,1,Miscellaneous
Ananya Stores,UPI,239.04,19,Thursday,2,179.56,11,0,Groceries
Neha,UPI,6010.71,19,Friday,2,6099.41,18,14,Miscellaneous
BookMyShow,UPI,109.32,15,Monday,4,80.44,5,20,Entertainment
Uber,NETBANKING,638.95,20,Thursday,3,923.39,13,6,Transport
Spotify,CARD,2181.15,2,Thursday,1,1492.0,5,39,Entertainment
Myntra,CARD,598.9,20,Friday,1,439.0,3,6,Miscellaneous
City Hospital,CARD,1744.73,11,Friday,1,1313.44,4,30,Miscellaneous
Flipkart,UPI,451.83,21,Saturday,1,185.96,9,0,Miscellaneous
Maa Grocery,CARD,1312.72,12,Saturday,1,2731.42,3,1,Groceries
Daily Needs,UPI,1420.91,10,Thursday,3,1454.1,24,4,Groceries
Campus Canteen,UPI,579.66,13,Tuesday,4,551.61,9,0,Food
Local Cafe,UPI,537.47,21,Wednesday,3,765.26,25,5,Food
Rakesh,NETBANKING,164.05,13,Sunday,4,113.81,13,0,Food
Kumar Cafe,CARD,911.8,12,Tuesday,2,1073.91,16,3,Food
Campus Canteen,UPI,170.97,7,Tuesday,3,149.96,28,1,Food
BookMyShow,UPI,256.36,17,Friday,3,268.74,19,5,Entertainment
City Mart,CARD,819.97,10,Tuesday,2,1105.64,60,1,Groceries
Metro Cab,UPI,58.58,20,Thursday,4,73.42,9,0,Transport
Landlord,UPI,8200.51,9,Wednesday,1,8957.48,3,21,Miscellaneous
Local Mart,UPI,421.59,11,Friday,5,386.5,11,1,Groceries
Spotify,NETBANKING,397.38,23,Monday,1,594.14,14,3,Entertainment
Electricity Office,UPI,1066.79,18,Thursday,1,975.42,9,23,Miscellaneous
Jio,UPI,840.73,10,Tuesday,1,1018.53,9,6,Miscellaneous
Gaming Cafe,CARD,125.52,17,Saturday,4,119.35,7,25,Entertainment
Local Mart,UPI,2359.55,21,Tuesday,1,1536.62,21,0,Groceries
Internet Services,CARD,2224.64,12,Tuesday,1,1516.57,7,10,Miscellaneous
IRCTC,UPI,7110.81,19,Thursday,1,4532.16,8,8,Miscellaneous
City Bus,CARD,101.75,9,Wednesday,2,59.35,13,4,Transport
Water Board,UPI,507.61,14,Sunday,1,982.07,10,75,Miscellaneous
Local Cafe,CASH,157.72,19,Saturday,7,306.46,9,1,Food
Maa Grocery,CARD,1776.49,10,Friday,5,1039.99,4,1,Groceries
Local Mart,UPI,212.89,17,Thursday,4,211.5,5,6,Groceries
Gaming Cafe,UPI,298.05,14,Tuesday,4,466.01,3,8,Entertainment
City Mart,UPI,652.03,18,Wednesday,1,821.59,11,1,Groceries
Hostel Rent,UPI,8405.45,21,Monday,1,8875.48,4,19,Miscellaneous
Rapido,UPI,137.62,17,Friday,3,160.11,15,1,Transport
Software Service,UPI,1037.87,2,Friday,2,554.28,6,31,Entertainment
Rakesh,UPI,199.58,9,Wednesday,4,141.28,29,1,Food
Reliance Smart,CARD,2070.75,19,Sunday,3,2121.22,13,9,Groceries
Flipkart,UPI,4568.57,11,Friday,1,5253.05,16,0,Miscellaneous
Kumar Enterprises,CARD,1783.35,19,Friday,2,2185.65,4,2,Miscellaneous
Rahul Kumar,CARD,131.71,14,Friday,3,142.52,14,3,Food
Airline,CARD,5190.53,10,Tuesday,1,12419.83,2,49,Miscellaneous
Water Board,UPI,1131.2,18,Monday,2,1125.56,2,9,Miscellaneous
Clinic,CARD,122.09,14,Saturday,1,128.77,7,15,Miscellaneous
Software Service,UPI,442.17,2,Friday,1,354.86,8,45,Entertainment
Kiran,UPI,396.31,15,Tuesday,1,469.65,8,6,Miscellaneous
Myntra,CARD,801.7,10,Wednesday,1,497.34,10,9,Miscellaneous
Sai Restaurant,CASH,1192.48,20,Tuesday,4,1735.72,20,3,Food
Electricity Office,CARD,412.56,14,Thursday,2,419.4,3,70,Miscellaneous
City Bus,CASH,80.02,20,Wednesday,6,85.41,4,2,Transport
BSNL,CARD,416.36,14,Friday,1,406.21,2,60,Miscellaneous
Fresh Basket,NETBANKING,418.98,20,Tuesday,2,446.36,14,1,Groceries
